epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,271.253,1.06827,0.69499,1.30004,0.91931,0.86709,0.95536,0.65966,1.19396,0.69957,1.46343,0.000742625,0.000742625,0.000742625
43,275.617,1.01542,0.68957,1.27998,0.93548,0.9132,0.96121,0.65157,1.13009,0.77472,1.44202,0.00073025,0.00073025,0.00073025
44,279.835,1.0026,0.68415,1.29446,0.92851,0.85355,0.93543,0.60845,1.2237,0.71609,1.49921,0.000717875,0.000717875,0.000717875
45,283.975,1.08029,0.76235,1.32018,0.88326,0.92173,0.93109,0.63155,1.17655,0.7176,1.44282,0.0007055,0.0007055,0.0007055
46,288.255,1.05279,0.72731,1.34269,0.89192,0.88191,0.92298,0.62188,1.19834,0.78014,1.45715,0.000693125,0.000693125,0.000693125
47,292.614,1.01024,0.71671,1.32394,0.91999,0.86123,0.91477,0.63913,1.18261,0.69901,1.43531,0.00068075,0.00068075,0.00068075
48,296.819,1.01645,0.69187,1.29353,0.90941,0.88893,0.92757,0.68203,1.10457,0.67854,1.3528,0.000668375,0.000668375,0.000668375
49,301.165,1.06308,0.72675,1.31345,0.88923,0.90619,0.93354,0.6863,1.05995,0.64043,1.31913,0.000656,0.000656,0.000656
50,305.522,1.06821,0.71767,1.33638,0.95485,0.86082,0.93289,0.66863,1.1042,0.6558,1.37617,0.000643625,0.000643625,0.000643625
51,309.74,1.06193,0.75397,1.32072,0.94497,0.86021,0.90673,0.64069,1.10874,0.71765,1.36698,0.00063125,0.00063125,0.00063125
52,313.974,1.00197,0.66634,1.29756,0.94771,0.82581,0.91184,0.64028,1.14155,0.74606,1.39451,0.000618875,0.000618875,0.000618875
53,318.129,1.003,0.70477,1.30351,0.92764,0.834,0.91223,0.61504,1.22748,0.83391,1.47135,0.0006065,0.0006065,0.0006065
54,322.441,0.99586,0.6762,1.28213,0.91043,0.81468,0.89562,0.62569,1.12592,0.87746,1.40628,0.000594125,0.000594125,0.000594125
55,326.598,1.009,0.68057,1.30441,0.93001,0.82393,0.90005,0.653,1.10592,0.85274,1.37853,0.00058175,0.00058175,0.00058175
56,330.801,0.93578,0.63926,1.21378,0.88513,0.84398,0.91562,0.67319,1.04036,0.83475,1.34036,0.000569375,0.000569375,0.000569375
57,334.972,0.95536,0.63109,1.24665,0.88899,0.83677,0.91741,0.68062,1.02598,0.77817,1.32278,0.000557,0.000557,0.000557
58,339.181,1.00121,0.67421,1.29882,0.886,0.79185,0.91159,0.65635,1.11381,0.78203,1.39229,0.000544625,0.000544625,0.000544625
59,343.339,0.95109,0.6412,1.23421,0.81466,0.87424,0.89944,0.65867,1.0834,0.71082,1.35837,0.00053225,0.00053225,0.00053225
60,347.653,0.97788,0.63603,1.29392,0.82917,0.84452,0.89453,0.63085,1.1562,0.7679,1.41284,0.000519875,0.000519875,0.000519875
61,351.886,0.94811,0.60925,1.25429,0.82826,0.8876,0.8962,0.61614,1.1825,0.7754,1.41685,0.0005075,0.0005075,0.0005075
62,356.042,0.93758,0.62545,1.2272,0.85902,0.84304,0.91642,0.6716,1.08398,0.72377,1.35657,0.000495125,0.000495125,0.000495125
63,360.252,0.94625,0.61978,1.26247,0.85332,0.88112,0.93539,0.69218,1.01973,0.69956,1.32313,0.00048275,0.00048275,0.00048275
64,364.783,0.98365,0.67754,1.27913,0.93731,0.84373,0.92678,0.66057,1.12039,0.70774,1.39717,0.000470375,0.000470375,0.000470375
65,369.039,0.97697,0.62283,1.23917,0.95438,0.85164,0.93386,0.6744,1.1039,0.66953,1.37312,0.000458,0.000458,0.000458
66,373.401,0.94459,0.6,1.23246,0.93227,0.86484,0.93904,0.69326,0.98528,0.62992,1.28003,0.000445625,0.000445625,0.000445625
67,377.791,0.94568,0.61362,1.26969,0.92253,0.83359,0.9211,0.65192,1.13326,0.70799,1.38909,0.00043325,0.00043325,0.00043325
68,382.025,0.96736,0.58154,1.2265,0.87161,0.8951,0.92338,0.64058,1.14994,0.71348,1.38799,0.000420875,0.000420875,0.000420875
